case_id,borrower_name,age,occupation,employer_business,employment_business_vintage_years,annual_income_lakh,existing_emi_inr,credit_score,loan_product,loan_purpose,loan_amount_inr,tenure_years,interest_rate_percent,primary_property_pdf,city,locality,property_type,property_address,building_society,flat_house_number,bedrooms,carpet_area_sqft,builtup_area_sqft,floor,total_floors,property_age_years,parking,occupancy,condition,sale_deed_status,property_card_status,share_certificate_status,building_plan_status,occupancy_certificate_status,property_tax_status,encumbrance_security_interest_status,owner_consistency,address_consistency,property_id_consistency,area_consistency,property_type_consistency,document_completeness,exceptions,comparable_count,average_comparable_rate_inr_sqft,adjusted_comparable_rate_inr_sqft,indicative_value_inr,indicative_value_low_inr,indicative_value_high_inr,valuation_confidence,ltv_percent,collateral_coverage_x,collateral_assessment,valuer_status,valuer_assessed_value_inr,valuer_override_reason,credit_review_status,data_classification,data_note
CLIQ-DADAR-001,Arjun Mehta,38,Business Owner,Mehta Industrial Supplies,9,48.0,38000,774,Loan Against Property (LAP),Business Expansion,25000000,15,10.75,Simulated - property information source,Mumbai,Dadar West,Apartment / Flat,"Bhavani Shankar Road, Dadar West, Mumbai, Maharashtra 400028",Shardashram (The Dadar Co-Operative Housing Society Ltd.),702,2,850,1020,7,10,15,1 Covered,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Exception,Pass,Complete,Area inconsistency: Sale Deed 850 sq.ft vs Property Tax 920 sq.ft; manual verification required,6,55000,55000,46750000,44500000,49000000,Medium,53.5,1.87,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00002,Ananya Patil,37,Salaried,Private Company,9,27.89,55500,727,Loan Against Property (LAP),Business Expansion,21700000,10,11.28,Simulated - property information source,Thane,Thane West,Apartment / Flat,"825, Thane West, Thane, Maharashtra",Sai Enclave,705,4,1380,1620,12,18,9,2 Covered,Vacant,Average,Uploaded,Pending,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Exception,Complete,Property type inconsistency,8,28200,28500,39300000,37900000,41700000,High,55.2,1.81,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00003,Vikram Kulkarni,40,Business Owner,Professional Practice,1,6.2,13400,728,Loan Against Property (LAP),Medical/Personal Need,7600000,20,9.52,Simulated - property information source,Mumbai,Sion,Apartment / Flat,"162, Sion, Mumbai, Maharashtra",Ocean View CHS,105,1,570,720,5,25,4,1 Open,Vacant,Good,Pending,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Exception,Pass,Exception,Pass,Pass,Complete,Owner mismatch; Property identification mismatch,6,41800,41900,23900000,22700000,25200000,High,31.8,3.14,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00004,Aditya Joshi,41,Salaried,Manufacturing Business,4,5.0,9300,725,Loan Against Property (LAP),Business Expansion,25700000,7,11.5,Simulated - property information source,Mumbai,Bandra East,Apartment / Flat,"66, Bandra East, Mumbai, Maharashtra",Sai Enclave,109,2,650,750,16,18,20,1 Open,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Exception,Exception,Pass,Complete,Property identification mismatch; Area inconsistency,7,59200,58800,38200000,36700000,39900000,Low,67.3,1.49,MEDIUM - REVIEW REQUIRED,Completed,37500000,Condition/marketability adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00005,Varun Malhotra,34,Self-Employed Professional,Trading Business,8,8.5,17000,767,Home Loan,Balance Transfer,21400000,15,10.78,Simulated - property information source,Thane,Wagle Estate,Apartment / Flat,"474, Wagle Estate, Thane, Maharashtra",Shree Residency,208,2,1660,2080,7,10,8,1 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Exception,Pass,Pass,Complete,Property identification mismatch,5,28300,27900,46300000,43800000,48500000,High,46.2,2.16,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00006,Priya Chaudhari,36,Government Employee,Manufacturing Business,2,14.64,23900,729,Loan Against Property (LAP),Business Expansion,26400000,10,9.58,Simulated - property information source,Thane,Thane West,Apartment / Flat,"414, Thane West, Thane, Maharashtra",Green Heights,401,3,1180,1420,18,33,14,1 Open,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,7,31600,32500,38400000,36200000,39800000,High,68.8,1.45,MEDIUM - REVIEW REQUIRED,Inspection Scheduled,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00007,Vikram Bansal,45,Business Owner,Manufacturing Business,1,17.95,36100,669,Loan Against Property (LAP),Medical/Personal Need,29500000,15,11.5,Simulated - property information source,Mumbai,Matunga,Apartment / Flat,"271, Matunga, Mumbai, Maharashtra",Green Heights,209,3,700,810,7,23,1,2 Covered,Self-occupied,Average,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Charge indicated - review required,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review; Security interest requires review,8,65300,63400,44400000,42800000,46300000,High,66.4,1.51,MEDIUM - REVIEW REQUIRED,Inspection Scheduled,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00008,Rohan Patil,40,Government Employee,Private Company,9,25.99,60400,709,Home Loan,Purchase of Residential Property,31700000,20,10.95,Simulated - property information source,Thane,Kopri,Row House,"363, Kopri, Thane, Maharashtra",Sunrise Apartments,House-53,2,2100,2610,18,18,1,1 Covered,Self-occupied,Average,Pending,Uploaded,Not Applicable,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,6,27100,27900,58600000,55200000,61200000,Medium,54.1,1.85,LOW - REVIEW COMPLETE,Inspection Scheduled,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00009,Arjun Joshi,35,Self-Employed Professional,Government Department,13,19.33,43100,677,Loan Against Property (LAP),Debt Consolidation,42500000,15,8.81,Simulated - property information source,Mumbai,Wadala,Apartment / Flat,"986, Wadala, Mumbai, Maharashtra",Sai Enclave,102,1,1650,1950,15,26,18,2 Covered,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Pending,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,6,47000,46500,76700000,72200000,81700000,High,55.4,1.8,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00010,Rohan Chaudhari,35,Salaried,Government Department,10,26.07,44500,789,Home Loan,Construction,22600000,25,8.49,Simulated - property information source,Thane,Kalwa,Villa,"622, Kalwa, Thane, Maharashtra",Demo Housing Society,House-42,3,2380,3000,10,26,22,2 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Pending,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,6,20300,20300,48300000,45400000,50300000,High,46.8,2.14,LOW - REVIEW COMPLETE,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00011,Amit Sharma,32,Self-Employed Professional,Government Department,6,19.2,16400,792,Home Loan,Balance Transfer,32700000,20,9.04,Simulated - property information source,Mumbai,Mahim,Apartment / Flat,"256, Mahim, Mumbai, Maharashtra",Green Heights,803,1,1070,1370,3,19,10,None,Vacant,Good,Uploaded,Uploaded,Not Applicable,Uploaded,Pending,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,8,53200,52300,56000000,54000000,59200000,High,58.4,1.71,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00012,Siddharth Joshi,37,Government Employee,Private Company,13,9.76,15300,787,Home Loan,Balance Transfer,15900000,20,10.93,Simulated - property information source,Thane,Ghodbunder Road,Apartment / Flat,"878, Ghodbunder Road, Thane, Maharashtra",Sunrise Apartments,708,2,1150,1390,10,17,17,2 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Pending,Pending,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,6,26600,26200,30100000,28700000,32100000,High,52.8,1.89,LOW - REVIEW COMPLETE,Inspection Scheduled,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00013,Sneha Gupta,41,Government Employee,Trading Business,4,19.52,32000,816,Loan Against Property (LAP),Education,18100000,20,10.78,Simulated - property information source,Thane,Manpada,Villa,"230, Manpada, Thane, Maharashtra",Demo Housing Society,House-9,3,1700,2090,1,7,14,None,Self-occupied,Average,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Charge indicated - review required,Pass,Pass,Pass,Pass,Pass,Complete,Security interest requires review,6,28400,29000,49300000,47000000,52300000,High,36.7,2.72,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00014,Neha Verma,51,Salaried,Government Department,6,15.47,27800,692,Home Loan,Construction,24600000,20,10.93,Simulated - property information source,Mumbai,Worli,Apartment / Flat,"802, Worli, Mumbai, Maharashtra",Green Heights,609,4,740,930,6,15,25,1 Covered,Vacant,Excellent,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Exception,Pass,Pass,Pass,Pass,Complete,Owner mismatch,5,75600,76800,56800000,54800000,59900000,High,43.3,2.31,MEDIUM - REVIEW REQUIRED,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00015,Aditya Jain,37,Business Owner,Professional Practice,9,36.07,55500,730,Loan Against Property (LAP),Medical/Personal Need,8700000,20,9.77,Simulated - property information source,Thane,Wagle Estate,Apartment / Flat,"501, Wagle Estate, Thane, Maharashtra",Sunrise Apartments,408,2,670,790,15,22,6,None,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,7,29300,28900,19400000,18200000,20700000,High,44.8,2.23,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00016,Raj Nair,34,Government Employee,Government Department,10,30.25,53700,762,Loan Against Property (LAP),Medical/Personal Need,16800000,15,9.48,Simulated - property information source,Thane,Manpada,Apartment / Flat,"130, Manpada, Thane, Maharashtra",Sai Enclave,101,2,1040,1210,7,17,18,1 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Exception,Pass,Complete,Area inconsistency,7,25800,25400,26400000,25000000,27400000,Low,63.6,1.57,MEDIUM - REVIEW REQUIRED,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00017,Isha Jain,39,Self-Employed Professional,Manufacturing Business,12,10.87,11300,738,Home Loan,Construction,17000000,25,8.65,Simulated - property information source,Mumbai,Matunga,Apartment / Flat,"641, Matunga, Mumbai, Maharashtra",Shree Residency,502,1,580,680,10,12,11,1 Open,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Exception,Pass,Complete,Area inconsistency,7,62400,62700,36400000,34300000,38900000,Low,46.7,2.14,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00018,Sneha Sharma,27,Self-Employed Professional,Private Company,1,19.35,40100,735,Loan Against Property (LAP),Business Expansion,13400000,10,11.48,Simulated - property information source,Thane,Kopri,Apartment / Flat,"911, Kopri, Thane, Maharashtra",Ocean View CHS,605,2,1530,1780,8,28,12,1 Open,Tenant-occupied,Average,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,7,27000,27700,42400000,40500000,44500000,Medium,31.6,3.16,LOW - REVIEW COMPLETE,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00019,Rohan Joshi,37,Government Employee,Professional Practice,10,45.15,77000,759,Loan Against Property (LAP),Education,8700000,10,11.74,Simulated - property information source,Thane,Majiwada,Apartment / Flat,"424, Majiwada, Thane, Maharashtra",Green Heights,409,3,680,820,14,24,17,2 Covered,Vacant,Excellent,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,7,34300,33500,22800000,22000000,24300000,Medium,38.2,2.62,LOW - REVIEW COMPLETE,Completed,21400000,No material adjustment,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00020,Isha Deshmukh,38,Salaried,Trading Business,7,6.37,16600,706,Home Loan,Balance Transfer,28700000,15,9.34,Simulated - property information source,Mumbai,Dadar West,Apartment / Flat,"957, Dadar West, Mumbai, Maharashtra",Sunrise Apartments,501,1,1020,1300,4,19,5,1 Covered,Vacant,Average,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Exception,Pass,Mostly Complete,Area inconsistency; Document completeness review,8,55800,57200,58300000,55700000,62100000,Low,49.2,2.03,MEDIUM - REVIEW REQUIRED,Completed,56300000,Comparable selection adjustment,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00021,Pooja More,39,Government Employee,Professional Practice,20,14.39,22700,764,Loan Against Property (LAP),Debt Consolidation,41500000,10,10.25,Simulated - property information source,Mumbai,Prabhadevi,Villa,"666, Prabhadevi, Mumbai, Maharashtra",Green Heights,House-43,3,1500,1870,13,25,14,1 Open,Tenant-occupied,Needs Review,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Incomplete,Document completeness review,5,76800,78500,117800000,114200000,121700000,High,35.2,2.84,MEDIUM - REVIEW REQUIRED,Completed,113500000,No material adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-00022,Amit Malhotra,29,Self-Employed Professional,Professional Practice,11,8.5,22600,719,Home Loan,Construction,29900000,10,10.91,Simulated - property information source,Mumbai,Wadala,Apartment / Flat,"262, Wadala, Mumbai, Maharashtra",Demo Housing Society,108,4,1210,1530,2,15,22,1 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,8,53100,53100,64300000,61600000,66800000,High,46.5,2.15,LOW - REVIEW COMPLETE,Inspection Scheduled,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
